gnis_name,reachcode,UVM_ID
Indian River,4.30E+12,1000178
Indian River,4.30E+12,1000211
Prentiss Brook,4.30E+12,1000295
Prentiss Brook,4.30E+12,1000585
Mettawee River,4.30E+12,1000673
Mettawee River,4.30E+12,1000402
East Bay,4.30E+12,1000578
Coggman Creek,4.30E+12,1000489
Big Hollow Brook,4.30E+12,1001211
Beaver Brook,4.30E+12,1000037
Mettawee River,4.30E+12,1000155
Herrick Brook,4.30E+12,1000341
Beaver Brook,4.30E+12,1000568
Herrick Brook,4.30E+12,1000637
Flower Brook,4.30E+12,1000069
Wells Brook,4.30E+12,1000046
Flower Brook,4.30E+12,1001313
Hubbardton River,4.30E+12,1000451
Hubbardton River,4.30E+12,1000876
Hubbardton River,4.30E+12,1000299
Hubbardton River,4.30E+12,1001556
Hubbardton River,4.30E+12,1001966
Hubbardton River,4.30E+12,1002339
Halfway Creek,4.30E+12,1000438
Halfway Creek,4.30E+12,1000726
Wood Creek,4.30E+12,1001100
Wood Creek,4.30E+12,1001463
Wood Creek,4.30E+12,1001515
Wood Creek,4.30E+12,1001679
Wood Creek,4.30E+12,1001715
Wood Creek,4.30E+12,1001573
Wood Creek,4.30E+12,1001203
Wood Creek,4.30E+12,1001257
Wood Creek,4.30E+12,1002253
Wood Creek,4.30E+12,1002320
Champlain Canal,4.30E+12,1000087
Mud Brook,4.30E+12,1000101
Champlain Canal,4.30E+12,1000186
Champlain Canal,4.30E+12,1000501
Bumps Brook,4.30E+12,1000540
Mettawee River,4.30E+12,1000755
Castle Creek,4.30E+12,1000843
Poultney River,4.30E+12,1000875
Champlain Canal,4.30E+12,1000900
